Etime	Time	CO2 (µmol/mol)
0	2021-06-01 13:08:14	0.29
1	2021-06-01 13:08:15	0.28
2	2021-06-01 13:08:16	0.25
3	2021-06-01 13:08:17	0.24
4	2021-06-01 13:08:18	0.16
5	2021-06-01 13:08:19	0.13
--------------------------------------------------------------
X30
--------------------------------------------------------------
6	2021-06-01 13:08:20	0.11
7	2021-06-01 13:08:21	0.14
8	2021-06-01 13:08:22	0.21
9	2021-06-01 13:08:23	0.31
10	2021-06-01 13:08:24	0.34
11	2021-06-01 13:08:25	0.21
12	2021-06-01 13:08:26	0.18
13	2021-06-01 13:08:27	0.08
14	2021-06-01 13:08:28	0.04
15	2021-06-01 13:08:29	0.18
16	2021-06-01 13:08:30	0.22
17	2021-06-01 13:08:31	0.27
18	2021-06-01 13:08:32	0.31
19	2021-06-01 13:08:33	0.25
20	2021-06-01 13:08:34	0.17
21	2021-06-01 13:08:35	0.18
22	2021-06-01 13:08:36	0.08
23	2021-06-01 13:08:37	0.09
24	2021-06-01 13:08:38	0.21
25	2021-06-01 13:08:39	0.24
26	2021-06-01 13:08:40	0.28
27	2021-06-01 13:08:41	0.16
28	2021-06-01 13:08:42	0.24
29	2021-06-01 13:08:43	0.22
30	2021-06-01 13:08:44	0.2
31	2021-06-01 13:08:45	0.29
32	2021-06-01 13:08:46	0.17
33	2021-06-01 13:08:47	0.12
34	2021-06-01 13:08:48	0.1
35	2021-06-01 13:08:49	-2.02
36	2021-06-01 13:08:50	35.46
37	2021-06-01 13:08:51	78.05
38	2021-06-01 13:08:52	74.48
39	2021-06-01 13:08:53	73.59
40	2021-06-01 13:08:54	35.38
41	2021-06-01 13:08:55	-7.17
42	2021-06-01 13:08:56	-3.49
43	2021-06-01 13:08:57	-1.45
44	2021-06-01 13:08:58	0.33
45	2021-06-01 13:08:59	0.62
46	2021-06-01 13:09:00	0.54
47	2021-06-01 13:09:01	0.59
48	2021-06-01 13:09:02	0.48
49	2021-06-01 13:09:03	0.4
50	2021-06-01 13:09:04	0.33
51	2021-06-01 13:09:05	0.27
52	2021-06-01 13:09:06	0.29
53	2021-06-01 13:09:07	0.28
54	2021-06-01 13:09:08	0.31
55	2021-06-01 13:09:09	0.31
56	2021-06-01 13:09:10	0.32
57	2021-06-01 13:09:11	0.3
58	2021-06-01 13:09:12	0.25
59	2021-06-01 13:09:13	0.29
60	2021-06-01 13:09:14	0.27
61	2021-06-01 13:09:15	-2.78
62	2021-06-01 13:09:16	48.16
63	2021-06-01 13:09:17	114.68
64	2021-06-01 13:09:18	109.55
65	2021-06-01 13:09:19	106.91
66	2021-06-01 13:09:20	103.57
67	2021-06-01 13:09:21	4.89
68	2021-06-01 13:09:22	-9.08
69	2021-06-01 13:09:23	-2.2
70	2021-06-01 13:09:24	0.19
71	2021-06-01 13:09:25	0.74
72	2021-06-01 13:09:26	0.65
73	2021-06-01 13:09:27	0.52
74	2021-06-01 13:09:28	0.44
75	2021-06-01 13:09:29	0.48
76	2021-06-01 13:09:30	0.49
77	2021-06-01 13:09:31	0.47
78	2021-06-01 13:09:32	0.39
79	2021-06-01 13:09:33	0.17
80	2021-06-01 13:09:34	0.19
81	2021-06-01 13:09:35	0.18
82	2021-06-01 13:09:36	0.22
83	2021-06-01 13:09:37	0.35
84	2021-06-01 13:09:38	0.34
85	2021-06-01 13:09:39	0.33
86	2021-06-01 13:09:40	0.27
87	2021-06-01 13:09:41	-0.06
88	2021-06-01 13:09:42	2.54
89	2021-06-01 13:09:43	83.55
90	2021-06-01 13:09:44	104.74
91	2021-06-01 13:09:45	99.05
92	2021-06-01 13:09:46	93.87
93	2021-06-01 13:09:47	12.53
94	2021-06-01 13:09:48	-8.62
95	2021-06-01 13:09:49	-2.54
96	2021-06-01 13:09:50	0.09
97	2021-06-01 13:09:51	0.61
98	2021-06-01 13:09:52	0.69
99	2021-06-01 13:09:53	0.62
100	2021-06-01 13:09:54	0.59
101	2021-06-01 13:09:55	0.57
102	2021-06-01 13:09:56	0.46
103	2021-06-01 13:09:57	0.5
104	2021-06-01 13:09:58	0.51
105	2021-06-01 13:09:59	0.4
106	2021-06-01 13:10:00	0.4
107	2021-06-01 13:10:01	0.41
108	2021-06-01 13:10:02	0.35
109	2021-06-01 13:10:03	0.28
110	2021-06-01 13:10:04	0.13
111	2021-06-01 13:10:05	0.08
112	2021-06-01 13:10:06	0.15
113	2021-06-01 13:10:07	0.16
114	2021-06-01 13:10:08	-0.91
115	2021-06-01 13:10:10	52.76
116	2021-06-01 13:10:11	51.64
117	2021-06-01 13:10:12	50.15
118	2021-06-01 13:10:13	30.87
119	2021-06-01 13:10:14	-4.25
120	2021-06-01 13:10:15	-3.04
121	2021-06-01 13:10:16	-0.26
122	2021-06-01 13:10:17	0.5
123	2021-06-01 13:10:18	0.62
124	2021-06-01 13:10:19	0.62
125	2021-06-01 13:10:20	0.56
126	2021-06-01 13:10:21	0.54
127	2021-06-01 13:10:22	0.52
128	2021-06-01 13:10:23	0.5
129	2021-06-01 13:10:24	0.4
130	2021-06-01 13:10:25	0.41
131	2021-06-01 13:10:26	0.4
132	2021-06-01 13:10:27	0.34
133	2021-06-01 13:10:28	0.4
134	2021-06-01 13:10:29	0.34
135	2021-06-01 13:10:30	0.35
136	2021-06-01 13:10:31	0.27
137	2021-06-01 13:10:32	0.23
138	2021-06-01 13:10:33	0.18
139	2021-06-01 13:10:34	0
140	2021-06-01 13:10:35	0.06
141	2021-06-01 13:10:36	55.13
142	2021-06-01 13:10:37	71.16
143	2021-06-01 13:10:38	66.92
144	2021-06-01 13:10:39	64.97
145	2021-06-01 13:10:40	9.65
146	2021-06-01 13:10:41	-6.34
147	2021-06-01 13:10:42	-1.84
148	2021-06-01 13:10:43	0.19
149	2021-06-01 13:10:44	0.59
150	2021-06-01 13:10:45	0.73
151	2021-06-01 13:10:46	0.69
152	2021-06-01 13:10:47	0.59
153	2021-06-01 13:10:48	0.41
154	2021-06-01 13:10:49	0.4
155	2021-06-01 13:10:50	0.3
156	2021-06-01 13:10:51	0.4
157	2021-06-01 13:10:52	0.4
158	2021-06-01 13:10:53	0.4
159	2021-06-01 13:10:54	0.39
--------------------------------------------------------------
5000check
--------------------------------------------------------------
160	2021-06-01 13:10:55	0.24
161	2021-06-01 13:10:56	0.22
162	2021-06-01 13:10:57	0.14
163	2021-06-01 13:10:58	0.14
164	2021-06-01 13:10:59	0.1
165	2021-06-01 13:11:00	0.12
166	2021-06-01 13:11:01	0.15
167	2021-06-01 13:11:02	0.1
168	2021-06-01 13:11:03	0.24
169	2021-06-01 13:11:04	0.29
170	2021-06-01 13:11:05	0.26
171	2021-06-01 13:11:06	0.31
172	2021-06-01 13:11:07	0.24
173	2021-06-01 13:11:08	0.16
174	2021-06-01 13:11:09	0.17
175	2021-06-01 13:11:10	0.16
176	2021-06-01 13:11:11	0.15
177	2021-06-01 13:11:12	0.22
178	2021-06-01 13:11:13	0.18
179	2021-06-01 13:11:14	0.09
180	2021-06-01 13:11:15	-0.21
181	2021-06-01 13:11:16	13.32
182	2021-06-01 13:11:17	48
183	2021-06-01 13:11:18	77.6
184	2021-06-01 13:11:19	75.49
185	2021-06-01 13:11:20	59.18
186	2021-06-01 13:11:21	23.87
187	2021-06-01 13:11:22	-5.57
188	2021-06-01 13:11:23	-3.11
189	2021-06-01 13:11:24	-0.23
190	2021-06-01 13:11:25	0.46
191	2021-06-01 13:11:26	0.43
192	2021-06-01 13:11:27	0.44
